,City,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,Country,Happiness_Score,Unesco,QoL_H
0,Caracas,5.697905697905698,31.42552908292294,90.29430859121402,3.7830446672743845,100.0,10.480593699999998,-66.90360629999999,Venezuela,28.474655454333092,9.090909090909092,16.12885006080374
1,Barcelona,45.98104598104597,50.099826966591245,77.63471110149318,47.73245214220602,40.90058792089791,36.088105600000006,-95.9241306,Venezuela,28.474655454333092,0.0,38.10355379826956
2,Valencia,49.994149994149986,68.20178357513643,38.130274832287384,67.91248860528715,20.283270978086584,28.521792200000004,-81.46357669999998,Venezuela,28.474655454333092,0.0,48.19357202981012
3,Johannesburg,55.70375570375571,52.10967656062825,51.27677991776671,52.38149498632635,97.6349545697488,-26.2041028,28.047305100000003,South Africa,28.825040878299447,0.0,40.6032679323129
4,Cape Town,63.15666315666315,67.66937308664981,82.21164250162303,83.68277119416592,76.42971672902192,-33.9248685,18.424055300000003,South Africa,28.825040878299447,18.181818181818183,56.253906036232685
5,Pretoria,47.22124722124722,66.92399840276853,75.8818437567626,63.9813126709207,76.42971672902192,-25.7478676,28.2292712,South Africa,28.825040878299447,0.0,46.403176774610074
6,Fortaleza,53.703053703053705,32.78317582856383,71.75935944600735,35.76800364630812,90.57990379476216,-3.7327144,-38.5269981,Brazil,65.68558747956084,0.0,50.72679556293448
7,Porto Alegre,14.847314847314848,40.17037135631572,93.22657433455961,30.287146763901557,87.65366114377338,-30.0346471,-51.2176584,Brazil,65.68558747956084,0.0,47.9863671217312
8,Belo Horizonte,18.006318006318008,48.48928523891921,64.62886821034408,35.2894257064722,53.62105825761625,-19.9166813,-43.934493100000005,Brazil,65.68558747956084,27.27272727272727,50.48750659301652
9,Colombo,16.146016146016148,72.10169040330095,36.34494698117291,24.373290793072016,52.29823623730625,6.927078599999999,79.861243,Brazil,65.68558747956084,18.181818181818183,45.02943913631643
10,Curitiba,33.45033345033345,50.84520165047252,36.34494698117291,60.8249772105743,47.31427044361304,-25.428954100000002,-49.267137,Brazil,65.68558747956084,0.0,63.25528234506757
11,Saint Louis,86.60348660348662,75.14974044988688,33.8995888335858,93.68732907930722,89.88508818813467,38.6270025,-90.1994042,Senegal,27.867320719458068,9.090909090909092,60.77732489938264
12,Mexico City,20.943020943020947,54.47890323439372,20.504219865829906,25.77484047402006,89.52431854623197,19.4326077,-99.133208,Mexico,72.57650081756597,63.63636363636363,49.17567064579302
13,Detroit,78.89317889317891,56.195927059763086,90.29430859121402,52.073837739288976,87.96098343132014,42.331427000000005,-83.0457538,United States,79.51413221209998,0.0,65.79398497569449
14,Las Vegas,86.67368667368666,60.81458804738453,64.62886821034408,62.91020966271651,79.78353821485835,36.169941200000004,-115.13982959999998,United States,79.51413221209998,0.0,71.21217093740825
15,Los Angeles,65.95296595296595,63.596432849727144,81.36766933564164,65.55378304466728,73.32977017637626,34.0522342,-118.24368490000002,United States,79.51413221209998,0.0,72.53395762838363
16,Houston,76.72867672867673,78.01144682550246,70.55832070980307,78.38422971741113,67.95831106360235,29.7604267,-95.36980279999999,United States,79.51413221209998,0.0,78.94918096475556
17,Dallas,81.66608166608168,65.43324903500599,90.77039601817788,85.76800364630812,65.5264564404062,32.7766642,-96.7969879,United States,79.51413221209998,0.0,82.64106792920404
18,Baltimore,84.70808470808471,68.21509383734859,84.37567626054967,87.40884229717412,64.12346338856226,39.2903848,-76.6121893,United States,79.51413221209998,0.0,83.46148725463705
19,Athens,23.013923013923016,33.64834287235459,29.690543172473493,28.80583409298086,62.30625334045965,37.9838096,23.7275388,United States,79.51413221209998,36.36363636363637,54.15998315254042
20,Atlanta,87.10658710658711,53.61373619060296,68.26444492534084,85.71103008204194,60.36878674505611,33.7489954,-84.3879824,United States,79.51413221209998,0.0,82.61258114707096
21,Orlando,75.68737568737569,73.44602688672968,76.55269422202986,87.7848678213309,59.0726884019241,28.5383355,-81.3792365,United States,79.51413221209998,0.0,83.64950001671545
22,Chicago,70.65637065637065,56.022893651004935,24.864747890067086,85.93892433910665,58.337787279529664,41.8781136,-87.62979820000001,United States,79.51413221209998,0.0,82.72652827560331
23,Birmingham,46.83514683514683,72.40782643418076,71.98658299069466,79.8883318140383,48.97113842864778,33.5185892,-86.8103567,United States,79.51413221209998,0.0,79.70123201306913
24,New York,57.540657540657534,40.67616132037802,12.995022722354468,64.5510483135825,48.73062533404596,40.7127753,-74.0059728,United States,79.51413221209998,9.090909090909092,72.03259026284124
25,Honolulu,61.02726102726103,48.1831492080394,32.76347111014932,84.65132178669099,44.46819882415821,21.3069444,-157.8583333,United States,79.51413221209998,0.0,82.08272699939548
26,Austin,73.52287352287352,70.25156395580994,31.20536680372214,92.5478577939836,42.27685729556387,30.267153000000004,-97.7430608,United States,79.51413221209998,0.0,86.0309950030418
27,New Orleans,70.12987012987011,59.89617995474511,15.970569140878595,86.49726526891523,41.862640299305184,29.95106579999999,-90.0715323,United States,79.51413221209998,0.0,83.0056987405076
28,Seattle,84.33368433368433,72.71396246506056,35.59835533434321,89.80173199635368,41.64885088188135,47.6062095,-122.33207079999998,United States,79.51413221209998,9.090909090909092,84.65793210422683
29,Boston,61.8930618930619,76.1480101157993,66.83618264444927,88.33181403828624,39.858364510956704,42.360082500000004,-71.0588801,United States,79.51413221209998,0.0,83.92297312519311
30,Charlotte,82.83608283608285,68.21509383734859,72.54923176801557,90.13217866909754,25.855157669695352,35.2270869,-80.8431267,United States,79.51413221209998,0.0,84.82315544059875
31,Indianapolis,86.97788697788698,21.07014508185811,88.81194546634927,81.85961713764813,25.855157669695352,39.768403,-86.158068,United States,79.51413221209998,0.0,80.68687467487405
32,Newark,91.27179127179129,78.38413416744311,67.23652888985067,77.39288969917958,25.855157669695352,40.735657,-74.1723667,United States,79.51413221209998,9.090909090909092,78.45351095563979
33,Vancouver,48.76564876564877,83.72154931452151,19.995671932482146,75.88878760255243,25.614644575093532,49.282729100000005,-123.1207375,United States,79.51413221209998,0.0,77.70145990732621
34,Nashville,86.48648648648648,52.53560495141755,0.0,85.6996353691887,19.561731694281136,36.1626638,-86.78160159999999,United States,79.51413221209998,0.0,82.60688379064433
35,Cambridge,56.6046566046566,80.72674031678424,61.869725167712616,74.43026435733819,17.851416354890432,42.373615799999996,-71.10973349999998,United States,79.51413221209998,0.0,76.97219828471908
36,Noida,60.25506025506026,47.264741115399985,96.40770396018176,42.62762078395625,85.70283270978086,28.535516100000002,77.3910265,India,12.310207895351546,27.27272727272727,27.4689143396539
37,Gurgaon,35.91903591903592,75.00332756555306,30.05842891149102,42.70738377392891,73.02244788882952,28.459496500000004,77.02663829999999,India,12.310207895351546,27.27272727272727,27.508795834640228
38,Delhi,32.77173277173277,72.08838014108878,79.01969270720623,42.342752962625354,55.71886691608765,28.7040592,77.10249019999998,India,12.310207895351546,27.27272727272727,27.32648042898845
39,Bangalore,37.77933777933778,64.6213230400639,87.57844622376109,53.35004557885142,53.674505611972215,12.9715987,77.5945627,India,12.310207895351546,0.0,32.83012673710148
40,Kolkata,26.231426231426237,13.9225342739252,78.54360528024237,23.188240656335466,43.385889898450024,22.572646,88.36389500000001,India,12.310207895351546,9.090909090909092,17.749224275843506
41,Pune,36.94863694863695,60.9476906695062,85.73901752867344,43.92661804922517,40.766969535008016,18.5204303,73.85674370000001,India,12.310207895351546,0.0,28.118412972288358
42,Hyderabad,39.25353925353925,57.31398908558499,97.07855442544904,56.60893345487694,34.79422768572956,17.385044,78.486671,India,12.310207895351546,0.0,34.45957067511424
43,Mumbai,26.266526266526263,50.019965393318245,76.27136983336939,24.088422971741117,31.761090326028864,19.0759837,72.87765590000001,India,12.310207895351546,27.27272727272727,18.19931543354633
44,Chennai,31.040131040131037,62.10568348196459,84.47305777970135,43.98359161349135,29.877071084981292,13.0826802,80.2707184,India,12.310207895351546,9.090909090909092,28.146899754421447
45,Vadodara,35.088335088335086,75.92173565819247,100.0,56.62032816773017,28.2870122928915,22.307158800000003,73.1812187,India,12.310207895351546,9.090909090909092,34.46526803154086
46,Ahmedabad,31.95273195273195,54.35911087448424,73.80437134819302,58.933454876937105,9.780865847140568,23.022505,72.57136209999999,India,12.310207895351546,9.090909090909092,35.62183138614432
47,Indore,34.40973440973441,13.989085584986027,64.29344297771046,49.270738377392895,8.110636023516836,22.7195687,75.8577258,India,12.310207895351546,0.0,30.79047313637222
48,Kochi,26.442026442026446,65.75269532809797,77.66717160787708,45.396536007292625,8.110636023516836,9.9312328,76.26730409999998,India,12.310207895351546,0.0,28.853371951322085
49,Karachi,9.652509652509652,40.915746040197,75.34083531703094,15.05241567912489,84.84767504008552,24.8607343,67.0011364,Pakistan,50.57229619247837,9.090909090909092,32.81235593580163
50,Lahore,7.101907101907101,37.415147078397446,33.055615667604414,26.469917958067462,54.94388027792624,31.5203696,74.35874729999998,Pakistan,50.57229619247837,9.090909090909092,38.521107075272916
51,Hyderabad,39.25353925353925,57.31398908558499,97.07855442544904,56.60893345487694,34.79422768572956,17.385044,78.486671,Pakistan,50.57229619247837,0.0,53.590614823677654
52,Rotterdam,52.08845208845209,56.47544256621856,22.029863665873187,71.19416590701914,84.72741849278461,51.9244201,4.4777325999999995,Netherlands,93.43611305769677,72.72727272727273,82.31513948235795
53,The Hague,72.42307242307243,61.10741381605218,40.26184808483012,85.11850501367365,25.253874933190808,52.07049779999999,4.300699900000001,Netherlands,93.43611305769677,63.63636363636363,89.27730903568522
54,Amsterdam,47.73604773604773,62.864368428058036,57.80134170093053,76.98268003646308,25.253874933190808,52.3675734,4.9041389,Netherlands,93.43611305769677,72.72727272727273,85.20939654707993
55,Utrecht,50.88335088335087,66.64448289631308,19.768448387794848,76.70920692798542,25.253874933190808,52.09073739999999,5.121420099999999,Netherlands,93.43611305769677,72.72727272727273,85.0726599928411
56,Nairobi,11.044811044811047,53.91987222148278,42.371780999783596,10.335004557885142,81.53393907001603,-1.2920658999999999,36.821946200000006,Kenya,23.849567857977092,0.0,17.092286207931117
57,Kuala Lumpur,35.930735930735935,47.09170770664183,75.36247565462023,42.28577939835916,77.56547300908603,3.1390029999999998,101.68685500000001,Malaysia,43.23756131744918,0.0,42.761670357904165
58,Manila,9.851409851409853,79.50219619326502,70.56914087859771,8.944849589790339,74.15820416889363,14.599512400000002,120.98421950000001,Philippines,50.058397570661064,9.090909090909092,29.5016235802257
59,Valencia,49.994149994149986,68.20178357513643,38.130274832287384,67.91248860528715,20.283270978086584,28.521792200000004,-81.46357669999998,Philippines,50.058397570661064,0.0,58.985443087974105
60,Lima,19.702819702819703,43.75083189138827,63.287167279809566,19.804010938924343,72.75521111704971,-12.0463731,-77.042754,Peru,51.60009343611305,9.090909090909092,35.702052187518696
61,Rome,30.817830817830817,54.31918008784774,21.46721488855226,24.510027347310853,68.78674505611973,41.902783500000005,12.4963655,Italy,63.88694230320018,45.45454545454545,44.19848482525552
62,Naples,33.930033930033936,27.738586450153075,12.995022722354468,42.87830446672744,61.21058257616247,40.87613410000001,14.5198315,Italy,63.88694230320018,45.45454545454545,53.38262338496381
63,Milan,43.348543348543345,67.25675495807269,23.90175286734473,40.46262534184139,60.58257616247996,45.464203499999996,9.189982,Italy,63.88694230320018,54.54545454545454,52.17478382252078
64,Florence,33.848133848133855,61.5998935179023,31.854576931400132,55.195989061075664,38.37520042757883,43.769560399999996,11.2558136,Italy,63.88694230320018,72.72727272727273,59.541465682137925
65,Venice,45.99274599274599,69.00039930786637,12.421553776238909,74.12260711030082,14.190272581507216,45.440847399999996,12.315515099999999,Italy,63.88694230320018,54.54545454545454,69.0047747067505
66,Santo Domingo,26.25482625482626,55.46386263809397,20.11469378922311,41.69325432999089,68.58631747728487,18.4860575,-69.93121169999999,Dominican Republic,45.24643774818966,9.090909090909092,43.46984603909028
67,Lagos,9.980109980109981,54.85159057633437,28.8141095001082,16.16909753874203,66.24799572421165,6.5243793,3.3792057,Nigeria,41.50899322588179,0.0,28.83904538231191
68,Glasgow,91.98549198549199,92.79914814321842,0.0,85.12989972652689,65.6600748262961,55.864237,-4.251806,United Kingdom,83.29829479093667,27.27272727272727,84.21409725873178
69,London,54.74435474435474,64.82097697324637,62.70287816489938,48.54147675478578,52.48530197755211,51.5073509,-0.12775830000000002,United Kingdom,83.29829479093667,54.54545454545454,65.91988577286122
70,Birmingham,46.83514683514683,72.40782643418076,71.98658299069466,79.8883318140383,48.97113842864778,33.5185892,-86.8103567,United Kingdom,83.29829479093667,0.0,81.59331330248747
71,Nottingham,55.21235521235521,78.26434180753361,26.55269422202986,80.43527803099362,44.78888295029396,52.95478319999999,-1.1581086,United Kingdom,83.29829479093667,27.27272727272727,81.86678641096515
72,Bristol,39.054639054639054,90.58964461599895,39.19065137416143,71.35369188696446,42.557455905932656,36.5951059,-82.18874439999998,United Kingdom,83.29829479093667,0.0,77.32599333895055
73,Belfast,54.31145431145431,16.637827765206975,31.638173555507464,85.75660893345488,30.999465526456444,54.59728500000001,-5.93012,United Kingdom,83.29829479093667,9.090909090909092,84.52745186219578
74,Brighton,51.69065169065169,49.91348329562093,54.37134819303181,65.32588878760257,29.74345269909139,36.063773700000006,-95.8818853,United Kingdom,83.29829479093667,0.0,74.31209178926962
75,Edinburgh,61.296361296361304,52.98815386663118,15.083315299718675,79.46672743846855,26.256012827365048,55.953252,-3.1882669999999997,United Kingdom,83.29829479093667,27.27272727272727,81.38251111470261
76,Leeds,67.27506727506729,80.72674031678424,19.995671932482146,82.91932543299909,24.11811865312667,53.8007554,-1.5490774,United Kingdom,83.29829479093667,36.36363636363637,83.10881011196787
77,Liverpool,55.458055458055455,82.5635565020631,59.88963427829474,88.70783956244303,23.83752004275788,32.6564981,-115.47632409999999,United Kingdom,83.29829479093667,0.0,86.00306717668985
78,Aberdeen,50.68445068445069,82.5635565020631,37.1239991343865,81.44940747493162,17.851416354890432,57.149717,-2.094278,United Kingdom,83.29829479093667,0.0,82.37385113293413
79,Leicester,76.63507663507664,52.98815386663118,19.519584505518285,80.78851412944394,17.851416354890432,52.63687779999999,-1.1397591999999999,United Kingdom,83.29829479093667,27.27272727272727,82.0434044601903
80,Oxford,51.42155142155141,60.388659656595244,12.421553776238909,76.11668185961715,17.851416354890432,51.7520209,-1.2577263,United Kingdom,83.29829479093667,63.63636363636363,79.7074883252769
81,Cambridge,56.6046566046566,80.72674031678424,61.869725167712616,74.43026435733819,17.851416354890432,42.373615799999996,-71.10973349999998,United Kingdom,83.29829479093667,0.0,78.86427957413743
82,Manchester,65.43816543816544,54.02635431918009,0.0,77.15360072926163,17.824692677712452,53.4807593,-2.2426305,United Kingdom,83.29829479093667,63.63636363636363,80.22594776009915
83,Buenos Aires,26.8047268047268,77.652069745774,51.13611772343648,39.30036463081131,64.93853554249065,-34.6036844,-58.381559100000004,Argentina,60.686755430974074,9.090909090909092,49.993560030892695
84,Dhaka,17.47981747981748,0.0,67.23652888985067,9.332269826800367,64.40406199893106,23.810332,90.4125181,Bangladesh,22.61153935996263,0.0,15.971904593381499
85,Athens,23.013923013923016,33.64834287235459,29.690543172473493,28.80583409298086,62.30625334045965,37.9838096,23.7275388,Greece,42.02289184769915,36.36363636363637,35.41436297034001
86,Thessaloniki,21.29402129402129,54.718487954212705,37.45942436702012,43.664539653600734,41.127739176910744,40.6400629,22.9444191,Greece,42.02289184769915,18.181818181818183,42.84371575064994
87,Saint Petersburg,21.574821574821577,33.9544789032344,84.37567626054967,23.564266180492254,61.598075895243184,59.931058400000005,30.360909600000003,Russia,50.45550105115626,9.090909090909092,37.00988361582426
88,Moscow,21.71522171522172,28.577132969519496,32.49296689028348,15.223336371923429,56.560662747194016,55.755826,37.6172999,Russia,50.45550105115626,36.36363636363637,32.83941871153984
89,Geneva,64.16286416286417,71.94196725675496,31.843756762605498,88.27484047402007,58.123997862105824,46.2043907,6.143157700000001,Switzerland,93.2492408315814,27.27272727272727,90.76204065280074
90,Lausanne,98.73639873639874,59.92280047916944,94.80631897857606,77.39288969917958,32.99037947621593,46.5196535,6.6322734,Switzerland,93.2492408315814,54.54545454545454,85.3210652653805
91,Basel,83.99438399438401,78.41075469186744,64.03375892663925,94.55332725615314,23.062533404596476,47.5595986,7.5885761,Switzerland,93.2492408315814,27.27272727272727,93.90128404386726
92,Kiev,14.625014625014627,20.830560362039133,72.88465700064921,21.376481312670926,57.896846606092986,50.4501,30.5234,Ukraine,19.715019855174017,9.090909090909092,20.54575058392247
93,Kharkiv,12.554112554112553,18.940503127911626,72.54923176801557,29.02233363719235,57.30892570817744,49.9935,36.230383,Ukraine,19.715019855174017,0.0,24.368676746183183
94,Tehran,13.7007137007137,30.813257021163317,94.80631897857606,10.300820419325433,57.856761090326025,35.6891975,51.3889736,Iran,24.76056996028965,9.090909090909092,17.530695189807542
95,Brussels,56.195156195156194,80.55370690802609,7.34689461155594,68.51640838650866,57.3623730625334,50.8503396,4.3517103,Belgium,80.23826208829709,100.0,74.37733523740287
96,Paris,47.61904761904761,83.18913882603488,64.03375892663925,53.93117593436646,57.30892570817744,48.856614,2.3522218999999995,France,72.50642373277272,45.45454545454545,63.21879983356959
97,Lyon,58.113958113958105,90.27019832290698,40.26184808483012,75.02278942570648,48.65045430251203,45.764043,4.835659,France,72.50642373277272,9.090909090909092,73.7646065792396
