,City,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,Country,Happiness_Score,Unesco,QoL_H
98,Nice,50.473850473850476,89.33847996805538,64.04457909543389,71.84366453965362,48.65045430251203,43.710172799999995,7.2619532000000016,France,72.50642373277272,0.0,72.17504413621316
99,Toulouse,56.26535626535626,80.10115799281247,39.20147154295607,69.92935278030994,48.65045430251203,43.604652,1.444209,France,72.50642373277272,27.27272727272727,71.21788825654133
100,Strasbourg,77.04457704457705,29.25595634233995,43.183293659381086,69.74703737465818,48.65045430251203,48.5734053,7.752111299999998,France,72.50642373277272,36.36363636363637,71.12673055371545
101,Marseille,59.28395928395928,75.46918674297885,27.688811945466345,62.192342752962624,48.65045430251203,43.296482,5.36978,France,72.50642373277272,27.27272727272727,67.34938324286767
102,Hanoi,6.832806832806834,0.0,25.990045444708937,0.0,54.716729021913416,21.0277644,105.8341598,Vietnam,39.40668068208362,18.181818181818183,19.70334034104181
103,Christchurch,47.64244764244764,83.89458272327965,24.020774724085694,81.25569735642661,54.03527525387493,-43.5319957,172.6396575,New Zealand,89.20812894183602,0.0,85.23191314913132
104,Auckland,49.88884988884989,67.90895780646878,32.49296689028348,70.29398359161351,52.80598610368787,-36.84830480000001,174.76248859999998,New Zealand,89.20812894183602,0.0,79.75105626672476
105,Hamilton,58.66385866385867,87.63476640489819,88.37913871456395,90.63354603463992,33.16408337787279,37.942609600000004,-96.19513200000002,New Zealand,89.20812894183602,0.0,89.92083748823796
106,Wellington,49.994149994149986,70.39797684014376,33.055615667604414,84.93618960802188,22.07375734901122,-41.2768778,174.7731458,New Zealand,89.20812894183602,0.0,87.07215927492895
107,Montevideo,17.760617760617762,51.763609743111935,34.32157541657649,44.82680036463082,52.51202565473009,-34.901112700000006,-56.16453139999999,Uruguay,65.52207428170985,0.0,55.17443732317034
108,London,54.74435474435474,64.82097697324637,62.70287816489938,48.54147675478578,52.48530197755211,51.5073509,-0.12775830000000002,Canada,88.5307171221677,54.54545454545454,68.53609693847675
109,Victoria,54.44015444015443,78.26434180753361,74.58342350140663,86.12123974475844,42.21004810261893,-37.471307700000004,144.7851531,Canada,88.5307171221677,9.090909090909092,87.32597843346306
110,Regina,63.67146367146367,52.45574337814456,90.96515905648127,85.10711030082042,41.020844468198824,50.4452112,-104.6188943,Canada,88.5307171221677,0.0,86.81891371149406
111,Hamilton,58.66385866385867,87.63476640489819,88.37913871456395,90.63354603463992,33.16408337787279,37.942609600000004,-96.19513200000002,Canada,88.5307171221677,0.0,89.58213157840382
112,Montreal,70.9137709137709,61.14734460268867,6.784245834235013,83.47766636280765,27.752538749331908,45.5016889,-73.567256,Canada,88.5307171221677,0.0,86.00419174248768
113,Edmonton,71.14777114777114,77.19952083056036,24.659164682969053,96.04603463992707,27.097808658471408,53.5461245,-113.49382290000001,Canada,88.5307171221677,0.0,92.28837588104739
114,Vancouver,48.76564876564877,83.72154931452151,19.995671932482146,75.88878760255243,25.614644575093532,49.282729100000005,-123.1207375,Canada,88.5307171221677,0.0,82.20975236236006
115,Calgary,67.29846729846729,72.54092905630242,25.459857173771912,93.75569735642661,24.94655264564404,51.04473309999999,-114.0718831,Canada,88.5307171221677,0.0,91.14320723929715
116,Toronto,64.42026442026442,60.26886729668575,9.684051071196711,81.73427529626252,22.1004810261892,43.653226000000004,-79.3831843,Canada,88.5307171221677,0.0,85.1324962092151
117,Cambridge,56.6046566046566,80.72674031678424,61.869725167712616,74.43026435733819,17.851416354890432,42.373615799999996,-71.10973349999998,Canada,88.5307171221677,0.0,81.48049073975295
118,Ottawa,100.0,60.14907493677626,36.30166630599437,92.09206927985414,15.219134152859434,45.42152960000001,-75.69719309999998,Canada,88.5307171221677,9.090909090909092,90.31139320101093
119,Perth,65.2041652041652,79.50219619326502,25.459857173771912,78.99954421148587,52.31159807589524,-31.950526899999996,115.8604572,Australia,87.36276570894648,0.0,83.18115496021618
120,Melbourne,57.44705744705744,74.3245041927326,32.76347111014932,72.58432087511395,50.62800641368253,-37.813627600000004,144.96305759999998,Australia,87.36276570894648,9.090909090909092,79.97354329203021
121,Brisbane,55.38785538785539,90.58964461599895,24.009954555291063,81.79124886052871,46.73971138428648,-27.469770699999998,153.0251235,Australia,87.36276570894648,0.0,84.57700728473759
122,Gold Coast,58.184158184158186,81.72500998269668,33.055615667604414,86.62260711030082,42.971672902191344,-28.016666999999998,153.4,Australia,87.36276570894648,0.0,86.99268640962364
123,Adelaide,76.81057681057682,47.14494875549049,12.995022722354468,98.27939835916136,40.70016034206307,-34.9284989,138.6007456,Australia,87.36276570894648,0.0,92.82108203405392
124,Canberra,66.54966654966654,94.59603354186079,12.421553776238909,100.0,39.41742383752004,-35.2809368,149.1300092,Australia,87.36276570894648,0.0,93.68138285447324
125,Darwin,50.462150462150454,72.4743777452416,7.336074442761308,83.44348222424794,29.315873864243713,37.0929586,-95.58283359999999,Australia,87.36276570894648,0.0,85.4031239665972
126,Sydney,56.67485667485668,67.13696259816318,19.995671932482146,78.65770282588878,29.315873864243713,-33.8688197,151.2092955,Australia,87.36276570894648,18.181818181818183,83.01023426741763
127,Gaborone,28.782028782028785,9.250632237455083,33.055615667604414,30.17319963536919,52.29823623730625,-24.6282079,25.9231471,Botswana,0.0,0.0,15.086599817684595
128,Colombo,16.146016146016148,72.10169040330095,36.34494698117291,24.373290793072016,52.29823623730625,6.927078599999999,79.861243,Sri Lanka,20.509226816164457,18.181818181818183,22.441258804618236
129,Cairo,6.458406458406459,47.45108478637029,93.22657433455961,13.628076572470377,50.708177445216464,30.0444196,31.235711600000005,Egypt,15.837421163279613,18.181818181818183,14.732748867874996
130,Quito,9.196209196209198,15.41328364168774,15.970569140878595,46.87784867821331,50.10689470871191,-0.1806532,-78.4678382,Ecuador,59.33193179163745,9.090909090909092,53.10489023492538
131,Dublin,51.187551187551186,27.00652202848396,33.04479549880978,68.34548769371013,50.040085515766975,53.34980529999999,-6.2603097000000005,Ireland,82.52744685821068,9.090909090909092,75.43646727596041
132,Cork,48.67204867204867,57.88633036070811,19.995671932482146,80.9936189608022,33.36451095670764,32.807190000000006,-96.7963929,Ireland,82.52744685821068,0.0,81.76053290950644
133,Jakarta,12.87001287001287,23.292958871289766,62.65959748972083,11.816317228805836,49.986638161411015,-6.2087634000000005,106.84559899999999,Indonesia,39.803784162578836,0.0,25.810050695692336
134,Sofia,19.480519480519483,40.72940236922668,28.8141095001082,36.95305378304467,49.97327632282202,42.69770820000001,23.3218675,Bulgaria,35.57580004671805,18.181818181818183,36.26442691488136
135,Varna,16.333216333216335,39.132170903766806,87.47024453581476,35.02734731084777,34.20630678781401,43.2140504,27.914733299999998,Bulgaria,35.57580004671805,18.181818181818183,35.301573678782916
136,Tirana,13.361413361413362,31.42552908292294,87.47024453581476,35.916134913400185,49.612506680919296,41.3275459,19.8186982,Albania,28.75496379350617,9.090909090909092,32.335549353453175
137,Beijing,19.41031941031941,50.67216824171437,61.869725167712616,23.245214220601646,49.10475681453767,39.90419989999999,116.4073963,China,39.7804251343144,36.36363636363637,31.512819677458022
138,Shanghai,23.82122382122382,77.02648742180223,66.80372213806535,30.047857793983596,7.549438802779266,31.230415999999998,121.473701,China,39.7804251343144,9.090909090909092,34.914141464149
139,Ulaanbaatar,10.494910494910494,29.588712897644093,60.452283055615666,21.88924339106655,48.115980758952425,47.88639879999999,106.9057439,Mongolia,41.97617379117028,0.0,31.932708591118416
140,Amman,17.362817362817363,72.59417010515108,66.6847002813244,39.06107566089335,47.94227685729556,31.9539494,35.910635,Jordan,33.12310207895352,90.9090909090909,36.09208886992344
141,Haifa,44.05054405054405,69.0270198322907,32.30902402077472,53.31586144029171,47.74184927846072,32.7940463,34.989571000000005,Israel,85.28381219341273,63.63636363636363,69.29983681685222
142,Jerusalem,36.08283608283608,77.95820577665381,69.72516771261631,51.93710118505014,47.74184927846072,31.768319,35.21371,Israel,85.28381219341273,90.9090909090909,68.61045668923143
143,Bogota,9.523809523809526,70.62425129775058,15.732525427396665,27.392889699179584,46.9802244788883,4.7109885999999985,-74.072092,Colombia,61.59775753328661,0.0,44.495323616233094
144,Antalya,19.34011934011934,51.53733528550512,33.055615667604414,40.13217866909754,44.98931052912881,36.8968908,30.7133233,Turkey,44.0317682784396,0.0,42.08197347376857
145,Alicante,44.82274482274482,72.91361639824305,30.50205583207098,76.61804922515952,44.29449492250133,38.345996299999996,-0.49068549999999994,Spain,66.94697500583975,9.090909090909092,71.78251211549963
146,Barcelona,45.98104598104597,50.099826966591245,77.63471110149318,47.73245214220602,40.90058792089791,36.088105600000006,-95.9241306,Spain,66.94697500583975,0.0,57.33971357402288
147,Madrid,55.7973557973558,70.11846133368829,60.34408136766933,62.192342752962624,38.05451630144308,40.4167754,-3.7037902000000003,Spain,66.94697500583975,54.54545454545454,64.56965887940119
148,Valencia,49.994149994149986,68.20178357513643,38.130274832287384,67.91248860528715,20.283270978086584,28.521792200000004,-81.46357669999998,Spain,66.94697500583975,0.0,67.42973180556345
149,Santiago,27.58862758862759,60.26886729668575,100.0,38.559708295350966,42.04970603955104,-33.4488897,-70.66926550000001,Chile,69.04928754963792,9.090909090909092,53.80449792249445
150,Helsinki,56.195156195156194,71.23652335951019,31.529971867561134,80.4010938924339,40.21913415285943,60.16985569999999,24.938379100000002,Finland,100.0,18.181818181818183,90.20054694621695
151,Lisbon,30.537030537030535,55.304139491547986,31.14044579095434,57.87374658158615,39.04329235702833,38.722252399999995,-9.1393366,Portugal,51.50665732305535,36.36363636363637,54.69020195232075
152,Porto,29.133029133029137,54.14614667908958,73.18762172689894,61.14402917046492,35.60929983965793,42.34820999999999,-71.080545,Portugal,51.50665732305535,0.0,56.325343246760134
153,Braga,27.88112788112788,65.06056169306535,15.732525427396665,73.63263445761167,9.70069481560663,41.5454486,-8.426506999999999,Portugal,51.50665732305535,36.36363636363637,62.56964589033351
154,Casablanca,7.979407979407979,43.75083189138827,68.13460289980523,49.45305378304467,36.63816141101016,43.037177899999996,-88.13519509999998,Morocco,40.1775286148096,0.0,44.81529119892714
155,Nicosia,38.2005382005382,68.16185278849994,6.784245834235013,59.58295350957157,36.557990379476216,35.1855659,33.38227639999999,Cyprus,59.75239430039711,18.181818181818183,59.66767390498434
156,Limassol,39.487539487539486,75.562358578464,28.933131356849163,79.23883318140382,17.22340994120791,34.7071301,33.0226174,Cyprus,59.75239430039711,27.27272727272727,69.49561374090047
157,Belgrade,17.643617643617645,42.19353121256489,83.40186106903268,34.63992707383774,36.22394441475147,44.786568,20.448921600000002,Serbia,49.40434477925717,0.0,42.022135926547456
158,Chiang Mai,11.126711126711129,86.6231864767736,33.055615667604414,36.70237010027348,35.970069481560664,18.788343899999997,98.9853008,Thailand,58.86475122634896,0.0,47.78356066331122
159,Bangkok,16.8948168948169,100.0,65.34299935078988,36.74794895168642,33.72528059861037,13.7563309,100.5017651,Thailand,58.86475122634896,9.090909090909092,47.806350089017684
160,Baku,5.850005850005851,10.475176360974313,53.52737502705042,13.571103008204194,34.51362907536076,40.40926169999999,49.8670924,Azerbaijan,40.1775286148096,18.181818181818183,26.874315811506897
161,Oslo,53.97215397215397,89.65792626114735,31.800476087426965,75.18231540565178,32.96365579903795,59.913868799999996,10.7522454,Norway,94.97780892314876,0.0,85.08006216440026
162,Stavanger,47.04574704574705,55.43724211366964,31.5191516987665,81.14175022789426,13.321753073222872,58.969975600000005,5.7331074,Norway,94.97780892314876,0.0,88.0597795755215
163,Trondheim,52.46285246285246,80.9796352988154,15.721705258602034,88.17228805834092,11.945483698556924,63.4305149,10.3950528,Norway,94.97780892314876,0.0,91.57504849074485
164,Bergen,52.48625248625248,85.34540130440571,19.909110582125077,89.41431175934366,7.763228220203103,40.926276200000004,-74.07701,Norway,94.97780892314876,9.090909090909092,92.19606034124621
165,Prague,33.85983385983386,57.6600559031013,44.93616100411166,61.03008204193255,31.640833778727952,50.0755381,14.4378005,Czech Republic,78.579771081523,27.27272727272727,69.80492656172778
166,Bratislava,26.8047268047268,51.763609743111935,33.055615667604414,57.98769371011851,31.42704436130412,48.148596500000004,17.1077478,Slovakia,63.30296659658956,45.45454545454545,60.64533015335404
167,Budapest,21.305721305721306,52.69532809796353,73.98831421770178,47.04876937101186,31.15980758952432,47.497912,19.040235,Hungary,53.02499416024291,27.27272727272727,50.036881765627385
168,Bucharest,19.26991926991927,41.55463862638094,80.68599870157973,27.529626253418414,30.130946018172093,44.43044889999999,26.0979342,Romania,60.313010978743286,27.27272727272727,43.92131861608085
169,Ljubljana,30.303030303030305,67.78916544655931,92.60982471326554,64.47128532360985,29.502939604489576,46.0569465,14.5057515,Slovenia,61.43424433543563,27.27272727272727,62.952764829522735
170,Copenhagen,50.25155025155025,85.59829628643685,33.04479549880978,79.69462169553327,28.768038482095136,55.676096799999996,12.568337199999998,Denmark,96.0523242233123,36.36363636363637,87.87347295942278
171,Riyadh,66.5028665028665,44.93544522827101,12.421553776238909,71.13719234275297,28.768038482095136,24.7135517,46.67529570000001,Saudi Arabia,67.43751459939266,9.090909090909092,69.2873534710728
172,Zagreb,23.786123786123788,42.52628776786903,90.29430859121402,48.199635369188705,28.634420096205236,45.815010799999996,15.981918900000002,Croatia,45.40995094604065,0.0,46.80479315761468
173,Warsaw,34.3863343863344,56.56861440170372,93.22657433455961,53.01959890610757,28.2870122928915,52.2296756,21.012228699999998,Poland,62.929222144358796,9.090909090909092,57.97441052523318
174,Vilnius,20.814320814320816,75.17636097431121,88.81194546634927,67.11485870556062,22.808658471405664,54.6871555,25.2796514,Lithuania,62.15837421163278,18.181818181818183,64.6366164585967
175,Vienna,52.45115245115245,78.57047783841342,24.226357931183724,81.95077484047401,22.167290219134152,48.208174299999996,16.3738189,Austria,87.78322821770614,54.54545454545454,84.86700152909007
176,Doha,88.42868842868843,62.864368428058036,90.29430859121402,85.4489516864175,21.79315873864244,25.2854473,51.53103979999999,Qatar,67.41415557112822,9.090909090909092,76.43155362877286
177,Cologne,61.77606177606177,62.62478370823905,74.0207747240857,88.34320875113947,21.672902191341525,50.937531,6.9602786,Germany,81.68652184069143,45.45454545454545,85.01486529591546
178,Hamburg,64.05756405756405,81.96459470251565,73.3391040900238,93.31130355515042,19.588455371459112,53.5510846,9.9936819,Germany,81.68652184069143,36.36363636363637,87.49891269792093
179,Berlin,72.93787293787294,59.430320777319324,17.36637091538628,97.85779398359162,17.797969000534472,52.52000659999999,13.404954,Germany,81.68652184069143,36.36363636363637,89.77215791214152
180,Stuttgart,69.54486954486954,79.26261147344603,18.275265094135467,96.98040109389244,17.504008551576696,48.7758459,9.1829321,Germany,81.68652184069143,27.27272727272727,89.33346146729193
181,Aachen,63.37896337896337,69.77239451617197,12.648777320926206,97.11713764813126,5.986103687867451,50.7753455,6.083886800000001,Germany,81.68652184069143,27.27272727272727,89.40182974441134
182,Dresden,89.17748917748918,76.48076667110344,18.275265094135467,96.76390154968094,5.986103687867451,51.0504088,13.737262099999999,Germany,81.68652184069143,18.181818181818183,89.22521169518618
183,Munich,66.57306657306657,89.97737255423934,46.61328716727981,96.61577028258887,5.986103687867451,48.1351253,11.581980499999998,Germany,81.68652184069143,18.181818181818183,89.15114606164015
184,Minsk,11.419211419211422,38.826034872887,72.37610906730146,52.83728350045579,21.325494388027792,53.9006011,27.558971999999997,Belarus,42.86381686521839,18.181818181818183,47.85055018283709
185,Addis Ababa,0.0,57.31398908558499,92.60982471326554,26.34457611668186,20.283270978086584,8.9806034,38.757760499999996,Ethiopia,18.64050455501052,9.090909090909092,22.49254033584619
186,Stockholm,52.24055224055224,82.08438706242514,15.072495130924041,83.51185050136736,19.722073757349012,59.329323499999994,18.068580800000003,Sweden,90.04905395935528,27.27272727272727,86.78045223036132
187,Gothenburg,24.066924066924066,63.103953147877014,100.0,75.45578851412945,19.722073757349012,57.70887,11.97456,Sweden,90.04905395935528,9.090909090909092,82.75242123674236
188,Seoul,56.06645606645606,72.10169040330095,92.60982471326554,62.65952597994532,14.01656867985035,37.566534999999995,126.9779692,South Korea,56.22518103246903,45.45454545454545,59.442353506207176
189,Singapore,31.30923130923131,50.56568614401704,19.995671932482146,42.570647219690066,12.15927311598076,1.352083,103.819836,Singapore,64.79794440551274,9.090909090909092,53.684295812601405
190,Manama,39.63963963963963,68.40143750831892,18.459207963644232,66.7274384685506,11.932121859967932,26.2235305,50.5875935,Bahrain,63.32632562485399,36.36363636363637,65.0268820467023
191,Dubai,74.01427401427402,62.4916810861174,33.33694005626487,91.00957155879672,11.357562800641368,25.204849300000003,55.2707828,United Arab Emirates,77.94907731838356,0.0,84.47932443859014
192,Abu Dhabi,72.13057213057213,36.19060295487822,57.80134170093053,86.04147675478578,0.0,24.453884,54.3773438,United Arab Emirates,77.94907731838356,0.0,81.99527703658467
193,Luxembourg,81.97028197028197,51.763609743111935,61.858904998917986,86.73655423883318,10.542490646712988,49.815273,6.1295829999999984,Luxembourg,84.13921980845596,27.27272727272727,85.43788702364458
194,Hong Kong,51.11735111735112,62.238786104086266,16.100411166414197,61.770738377392895,7.282202030999464,22.319303899999998,114.1693611,Hong Kong,45.363232889511785,9.090909090909092,53.56698563345234
195,Taipei,37.217737217737216,90.58964461599895,94.80631897857606,53.62351868732909,6.480491715660077,25.0329694,121.56541770000001,Taiwan,69.09600560616678,0.0,61.35976214674794
196,Tokyo,48.19234819234819,67.4830294156795,33.04479549880978,72.92616226071104,4.075360769641904,35.6761919,139.65031059999998,Japan,56.01494977808923,18.181818181818183,64.47055601940014
